安全	aq
按照	av
安排	ap
按错	ac
按时	au
安静	aj
昂贵	ag
按到	ad
安慰	aw
爱惜	ax
安保	ab
安分	af
拗口	ak
按理	al
黯然	ar
暗算	as
凹凸	at
安逸	ay
暗自	az
暧昧	am
挨饿	ae
傲岸不群	aabq
皑皑白雪	aabx
嗷嗷待哺	aadb
安安分分	aaff
哀哀父母	aafm
暗暗称奇	aaiq
安安静静	aajj
矮矮胖胖	aapp
安安全全	aaqq
暗暗祈祷	aaqd
安安稳稳	aaww
哀哀欲绝	aayj
安安逸逸	aayy
安安心心	aaxx
暗暗咂舌	aazu
安不安全	abaq
安不安逸	abay
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过去	abgq
阿布哈兹	abhz
按部就班	abjb
爱别离苦	ablk
鞍不离马	ablm
爱兵如子	abrz
爱不释手	abuu
阿布扎比	abvb
阿布扎哈	abvh
安邦治国	abvg
暗藏祸心	achx
昂藏七尺	acqi
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
爱搭不理	adbl
暗度陈仓	adic
按道理	adl
澳大利亚	adly
安定团结	adtj
黯淡无光	adwg
安度晚年	adwn
爱得要死	adys
阿尔卑斯	aebs
爱而不得	aebd
哀而不伤	aebu
阿尔巴尼亚	aeby
阿尔及利亚	aejy
阿尔及尔	aeje
安抚安抚	afaf
埃菲尔铁塔	afet
安分守己	afuj
案发现场	afxi
阿哥阿妹	agam
爱岗敬业	agjy
爱国人士	agru
熬更守夜	aguy
爱国主义	agvy
爱国之心	agvx
哀鸿遍野	ahby
爱恨交织	ahjv
安好如初	ahri
爱好者	ahv
暗潮汹涌	aixy
安静安静	ajaj
挨家挨户	ajah
挨肩并足	ajbz
挨肩擦背	ajcb
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
暗箭伤人	ajur
安家置业	ajvy
爱看不看	akbk
阿里巴巴	albb
爱理不理	albl
阿拉伯联合酋长国	albg
阿拉伯数字	albz
按劳分配	alfp
按理来说	allu
奥林匹克	alpk
按劳取酬	alqi
暗流涌动	alyd
暗里一套	alyt
按摩按摩	amam
挨门挨户	amah
阿猫阿狗	amag
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
阿姆斯特丹	amsd
爱美之心	amvx
挨门逐户	amvh
奥妙无穷	amwq
傲慢无礼	amwl
爱慕虚荣	amxr
按捺不住	anbv
懊恼不已	anby
碍难从命	ancm
