xqvg	修正
jike	即可
vidc	知道
ving	只能
jmdj	简单
jisr	计算
yixx	一下
yivi	一直
viui	只是
anui	按时
erui	而是
igww	成为
xnui	小时
jmvi	简直
rfwu	任务
uijm	时间
uvpk	水平
uiui	试试
ufsi	神似
irts	传统
tdwj	台湾
fjyk	反应
mwvz	每周
lmxi	联系
xmjb	现金
qijm	期间
jiqi	极其
zdxm	在线
vihv	只会
yipm	一片
mwli	美丽
xlxl	想想
andc	按到
wwrr	微软
wwvi	位置
ubgb	事半功倍
keyi	刻意
jiui	即使
hvyi	回忆
hxww	华为
yibm	一边
llbm	两边
vgju	整句
anjm	按键
djyr	单元
fjsi	反思
dayu	大于
gdbm	改编
dajx	打架
jnhr	叫唤
ihih	尝尝
bwjk	背景
uhhd	伤害
igdu	程度
fujm	附件
uiji	世纪
jxru	假如
tsyi	统一
buzd	不再
wwso	猥琐
xmee	险恶
eedu	恶毒
dadc	达到
hvfu	回复
lmjp	链接
uufu	束缚
vgfu	征服
qiui	歧视
xxci	瑕疵
wwxb	微信
fjhv	反悔
buqr	补全
juli	举例
ybxk	音形
dciu	导出
bauz	把守
baxi	把戏
bciz	报仇
bcjm	宝剑
bcxm	保鲜
bdnm	拜年
bdto	摆脱
bise	鼻塞
bmig	编程
bmjp	辩解
bmqm	便签
bnge	表哥
boxt	博学
boyb	波音
bpqu	憋屈
bwbu	北部
bwzi	杯子
cdji	猜忌
cihz	伺候
cjgr	餐馆
cjju	残局
cjsi	惨死
crdo	撺掇
cygr	存管
daie	搭车
dali	打理
dcbi	倒逼
ddbj	呆板
ddgz	代购
ddhv	带回
ddjx	代驾
devi	得志
deyi	得以
dgji	登记
dhvs	当众
dipi	地痞
djji	淡季
dkvu	顶住
dpjx	跌价
drdm	断点
drpm	短篇
dsji	动机
duih	独唱
duzi	独自
dvvh	对账
erxi	儿媳
faho	发货
faxk	发型
fayj	发炎
ffge	分割
ffhs	粉红
ffjp	分界
ffli	奋力
ffuf	分神
fgxm	奉献
fhke	访客
fhuz	防守
fhww	防伪
fjfu	反腐
fjrf	凡人
fjvi	反之
fuww	抚慰
fwui	费时
fwwu	飞舞
gcgv	搞鬼
gcic	高超
gcqk	搞清
gezi	鸽子
ghbi	钢笔
ghyc	纲要
glxm	光纤
gomb	国民
goxp	裹挟
gozc	聒噪
grli	惯例
grtz	关头
gshv	公会
gsji	共计
gsmk	功名
gspo	攻破
gsys	共用
gszi	公子
guwf	古文
gvhx	桂花
gvsu	龟速
hchj	浩瀚
hcuf	豪绅
hefh	何妨
heih	何尝
hjjm	汉奸
hlqr	皇权
houi	火势
hrle	换了
hruz	换手
hvbc	回报
hvvh	徽章
hxxt	滑雪
hztv	后腿
hzui	后市
iahx	插画
iaiu	查出
iesu	撤诉
ievj	车展
igbc	城堡
igui	诚实
igxb	诚信
ihdc	尝到
ihzi	场子
iile	迟了
iluh	创伤
irdc	传导
isgc	冲高
iszu	重组
iugv	橱柜
iuvs	初衷
iuyu	出于
iyjp	春节
iziu	踌躇
jlhu	浆糊
jiww	极为
jljb	奖金
jmqn	剑鞘
jmtk	监听
jngr	浇灌
jpkz	接口
